Participant_ID;SCG_to_Gambling_Reason1;SCG_to_Gambling_Reason2;SCG_to_Gambling_Reason3;Gambling_to_SCG_Reason1;Gambling_to_SCG_Reason2;Gambling_to_SCG_Reason3;SCG_Play_Reason1;SCG_Play_Reason2;SCG_Play_Reason3
SCG_250;Could win real money;It's risky;It's more fun;;;;It's fun;I like going broke;Play with friends
SCG_251;Wanted to take a risk and try to win money;Boredom;The adrenaline rush of winning (I won hundreds my very first time!);;;;The rush of watching the reels spin and seeing what's going to happen!;Being entertained;The perks of being a member - all the side games and chances to win prizes
SCG_252;;;;The availability of tech;Boredom;Curiosity;boredom;excitement;fun
SCG_253;;;;turned 18 before social casino games were available;games were free;family plays them;free! (i don't make purchases);family play them (send coins);i don't live that close to a casino so they're the next best thing
SCG_254;;;;Change things up;excitement;Recommended to me;Money;Fun;Excitement
SCG_255;;;;Fun to play;practice;no risk;have fun;meet people;have some excitement
SCG_256;;;;Computers;Phones;More variety;relaxation;excitement;pass time
SCG_257;;;;for fun;for practice;for learning the game better;;;
SCG_258;;;;play in my state;play at home;na;play at home;play in my state;na
SCG_259;;;;It was fun to accumulate lots of tokens;I liked playing games with people;I was losing more than I was winning;It is fun;I like to win;I like to accumulate tokens
SCG_260;;;;action;something to do;pretend;past time;need to;beat the game
SCG_261;The thrill;Excitement;"Risk &gt; fail factor";;;;I am not betting real currency;It is strictly for fun;I can play with other friends globally
SCG_262;;;;free;Fun;can ply without losing money;;;
SCG_263;Low risk high reward;Gives a thrill;My dad does it too;;;;It's fun;No risk at all;if you are losing you can just restart the game
SCG_264;;;;no risk in losing money;less stress;connecting with others in a fun social way instead of just trying to take their money;no risk of losing money;connecting with others in a fun way;pass the time
SCG_265;;;;I got internet;I got a facebook account;for fun;fun;enjoyment;thrill
SCG_266;;;;cheaper;easier;more convient;;;
SCG_267;;;;;;;;;
SCG_268;Actual money;Socialize;Competitive;;;;Socialize;Fun;Win
SCG_269;;;;get more of a rush;to see if I would win more money;;interact with others;make money;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
